Algorithm,N,S,R%,Parity,PayloadBytes,MeanEncSec,MeanDecSec,EncPerByte(s),DecPerByte(s)
XOR,40,512,50.0,20,20480,0.000176115,0.000003491,8.599381510e-09,1.704427083e-10
ReedSolomon,40,512,50.0,20,20480,0.000192839,0.000194292,9.415983073e-09,9.486930339e-09
RaptorQ,40,512,50.0,20,20480,0.000080709,0.000065766,3.940885417e-09,3.211230469e-09
XOR,50,64,10.0,5,3200,0.000008392,0.000000176,2.622395833e-09,5.500000000e-11
ReedSolomon,50,64,10.0,5,3200,0.000310598,0.000301201,9.706187500e-08,9.412541667e-08
RaptorQ,50,64,10.0,5,3200,0.000070512,0.000069427,2.203510417e-08,2.169604167e-08
XOR,50,64,20.0,10,3200,0.000015369,0.000000309,4.802916667e-09,9.656250000e-11
ReedSolomon,50,64,20.0,10,3200,0.000314745,0.000314633,9.835781250e-08,9.832270833e-08
RaptorQ,50,64,20.0,10,3200,0.000062616,0.000058086,1.956739583e-08,1.815197917e-08
XOR,50,64,30.0,15,3200,0.000022220,0.000000434,6.943645833e-09,1.355208333e-10
ReedSolomon,50,64,30.0,15,3200,0.000347043,0.000320313,1.084508333e-07,1.000978125e-07
RaptorQ,50,64,30.0,15,3200,0.000063358,0.000055226,1.979947917e-08,1.725822917e-08
XOR,50,64,40.0,20,3200,0.000034778,0.000000560,1.086812500e-08,1.750000000e-10
ReedSolomon,50,64,40.0,20,3200,0.000343950,0.000350993,1.074844792e-07,1.096854167e-07
RaptorQ,50,64,40.0,20,3200,0.000066915,0.000065939,2.091104167e-08,2.060583333e-08
XOR,50,64,50.0,25,3200,0.000037724,0.000000676,1.178875000e-08,2.113541667e-10
ReedSolomon,50,64,50.0,25,3200,0.000355688,0.000354887,1.111526042e-07,1.109020833e-07
RaptorQ,50,64,50.0,25,3200,0.000068116,0.000066390,2.128635417e-08,2.074697917e-08
XOR,50,92,10.0,5,4600,0.000010708,0.000000213,2.327898551e-09,4.637681159e-11
ReedSolomon,50,92,10.0,5,4600,0.000310400,0.000310563,6.747826087e-08,6.751369565e-08
RaptorQ,50,92,10.0,5,4600,0.000070884,0.000064283,1.540963768e-08,1.397449275e-08
XOR,50,92,20.0,10,4600,0.000022224,0.000000405,4.831376812e-09,8.797101449e-11
ReedSolomon,50,92,20.0,10,4600,0.000316508,0.000315427,6.880615942e-08,6.857108696e-08
RaptorQ,50,92,20.0,10,4600,0.000061624,0.000069950,1.339644928e-08,1.520659420e-08
XOR,50,92,30.0,15,4600,0.000030122,0.000000580,6.548260870e-09,1.260144928e-10
ReedSolomon,50,92,30.0,15,4600,0.000343544,0.000346944,7.468355072e-08,7.542253623e-08
RaptorQ,50,92,30.0,15,4600,0.000065415,0.000062672,1.422057971e-08,1.362427536e-08
XOR,50,92,40.0,20,4600,0.000043720,0.000000771,9.504347826e-09,1.676811594e-10
ReedSolomon,50,92,40.0,20,4600,0.000363550,0.000359378,7.903268116e-08,7.812557971e-08
RaptorQ,50,92,40.0,20,4600,0.000076192,0.000070326,1.656347826e-08,1.528826087e-08
XOR,50,92,50.0,25,4600,0.000051768,0.000000949,1.125398551e-08,2.062318841e-10
ReedSolomon,50,92,50.0,25,4600,0.000385336,0.000388231,8.376862319e-08,8.439804348e-08
RaptorQ,50,92,50.0,25,4600,0.000063997,0.000058261,1.391231884e-08,1.266550725e-08
XOR,50,120,10.0,5,6000,0.000013274,0.000000249,2.212277778e-09,4.155555556e-11
ReedSolomon,50,120,10.0,5,6000,0.000300065,0.000298691,5.001088889e-08,4.978188889e-08
RaptorQ,50,120,10.0,5,6000,0.000076737,0.000065258,1.278955556e-08,1.087627778e-08
XOR,50,120,20.0,10,6000,0.000026624,0.000000482,4.437333333e-09,8.033333333e-11
ReedSolomon,50,120,20.0,10,6000,0.000345207,0.000346033,5.753444444e-08,5.767211111e-08
RaptorQ,50,120,20.0,10,6000,0.000083765,0.000066660,1.396088889e-08,1.111005556e-08
XOR,50,120,30.0,15,6000,0.000048251,0.000000733,8.041777778e-09,1.222222222e-10
ReedSolomon,50,120,30.0,15,6000,0.000423170,0.000394537,7.052838889e-08,6.575622222e-08
RaptorQ,50,120,30.0,15,6000,0.000104450,0.000110859,1.740838889e-08,1.847650000e-08
XOR,50,120,40.0,20,6000,0.000054619,0.000000976,9.103111111e-09,1.626111111e-10
ReedSolomon,50,120,40.0,20,6000,0.000360265,0.000364967,6.004416667e-08,6.082777778e-08
RaptorQ,50,120,40.0,20,6000,0.000064078,0.000061905,1.067961111e-08,1.031750000e-08
XOR,50,120,50.0,25,6000,0.000069510,0.000001191,1.158500000e-08,1.985000000e-10
ReedSolomon,50,120,50.0,25,6000,0.000375665,0.000392066,6.261077778e-08,6.534433333e-08
RaptorQ,50,120,50.0,25,6000,0.000074313,0.000066142,1.238550000e-08,1.102361111e-08
XOR,50,250,10.0,5,12500,0.000027781,0.000000458,2.222480000e-09,3.661333333e-11
ReedSolomon,50,250,10.0,5,12500,0.000304792,0.000301915,2.438333333e-08,2.415322667e-08
RaptorQ,50,250,10.0,5,12500,0.000082589,0.000088493,6.607146667e-09,7.079466667e-09
XOR,50,250,20.0,10,12500,0.000058211,0.000001003,4.656853333e-09,8.024000000e-11
ReedSolomon,50,250,20.0,10,12500,0.000327065,0.000322565,2.616517333e-08,2.580522667e-08
RaptorQ,50,250,20.0,10,12500,0.000082183,0.000070087,6.574613333e-09,5.606986667e-09
XOR,50,250,30.0,15,12500,0.000097785,0.000001412,7.822800000e-09,1.129866667e-10
ReedSolomon,50,250,30.0,15,12500,0.000352460,0.000343055,2.819677333e-08,2.744440000e-08
RaptorQ,50,250,30.0,15,12500,0.000076412,0.000074737,6.112986667e-09,5.978933333e-09
XOR,50,250,40.0,20,12500,0.000111085,0.000001799,8.886773333e-09,1.439200000e-10
ReedSolomon,50,250,40.0,20,12500,0.000354863,0.000367418,2.838901333e-08,2.939346667e-08
RaptorQ,50,250,40.0,20,12500,0.000086429,0.000082084,6.914320000e-09,6.566720000e-09
